X,Y
-5.502474283426381341e+00,9.184230834174926805e-01
-6.333748123071048397e+00,5.835597759104116378e-01
-1.084489837231983600e+01,-7.553522726562745149e+00
-4.561782306898890305e+00,-1.245907000557023192e+00
-2.984048284897794723e+00,1.463645289643544789e-02
1.771335216882676811e+00,6.345082658656134855e-01
-9.751573566587453001e+00,-5.203026198176282868e+00
-1.151023635028088776e+01,-4.162843213812080556e+00
-7.726757948652348773e+00,-5.866565633916548173e+00
2.307660856403845884e+00,1.901931843914300702e+00
3.359375386531025853e+00,9.035209713890773875e-02
1.508273199146640708e+00,1.275697247945338786e-01
-8.555451300964330485e+00,-5.035368003422989069e+00
2.049309120001355122e+00,8.126445622252649326e-01
-8.817189748865260412e+00,-4.579256336672505867e+00
-1.512547599875121662e+00,-2.171790883629719282e+00
2.387060262023580570e+00,1.139182087570350221e+00
1.533954824512696602e+00,-1.659702764129906694e-01
-8.893149803175679935e+00,-5.327495942171250221e+00
-7.035285456338817411e+00,-4.634899727873357911e+00
-9.290995448114399480e+00,-6.110015326196258201e+00
2.079142601651770672e+00,1.815532419165545308e-01
-8.992939211551535195e+00,-4.799269444060295875e+00
-3.365313627481098635e+00,-1.208979829718108967e-01
-8.145691166643109327e+00,-7.001194954819966121e+00
-5.205482590849946689e+00,3.055425563888206630e-01
2.542375985566152075e+00,-2.138111688549207967e-01
-3.776237866190844006e+00,-4.764827580700170540e-01
1.820257673224886297e+00,-9.822955314850045916e-02
-8.820108592518050017e+00,-6.845389771614625474e+00
-5.662915648857254070e+00,-1.460638672420102591e+00
-9.464436766348976349e+00,-6.540657248342110819e+00
-5.739123164484547068e+00,-9.246677323146665906e-01
2.757431429362247499e+00,8.372865211238169625e-01
2.036624222695040842e+00,3.131344530660924996e-01
2.262468362249872911e+00,7.310583262902834445e-01
1.755859152771022114e+00,-2.825718930031082543e-01
-4.775194127556180668e+00,2.359569373116657542e-01
1.701763056077054248e+00,4.545765386065995783e-01
-9.022694729242932254e+00,-4.365698259762822886e+00
-1.081360227882689706e+01,-5.049525330241016796e+00
-8.147798210219306725e+00,-4.878821277170504622e+00
-5.786645925965366644e+00,-1.781627412891872098e+00
-6.161441293337347247e+00,-5.742975829599545889e-01
2.149850945817302961e+00,1.181021228159759406e+00
-8.094215850782051191e+00,-5.774927393389063468e+00
1.404242650323956454e+00,7.000645707554313812e-01
-1.043085066821211626e+01,-6.234084368027341228e+00
-5.560682810184623293e+00,-1.608935275589248759e+00
-4.268274074688252817e+00,-3.195620231053913685e+00
-2.719570037939102569e+00,-1.128242926965390192e+00
-4.308533429866264974e+00,8.803810667701752468e-01
-8.405901057585934311e+00,-4.795570271504209892e+00
-9.956645364230686468e+00,-6.052123886405972542e+00
-4.891454771257881973e+00,2.676851435201476725e+00
1.725121488426542893e+00,2.975202411171364858e-01
-8.536163941790769982e+00,-5.625843913418276721e+00
-5.390459112500757044e+00,1.943689209842220045e+00
-3.911464831924565289e+00,-1.489597508660798209e+00
-6.869141505001167047e+00,-1.192803586474277644e+00
-3.638229531326722110e+00,-7.768934309901789348e-01
-1.007645003637809467e+01,-5.399924249770204021e+00
-1.548099110014446111e+00,2.719736088305754862e+00
2.652025577280005653e+00,4.881142020330846987e-01
-2.826095397485807403e+00,5.076623099205805900e-01
-4.414768280555209756e+00,1.738479916553684890e-01
-8.981104302160376918e+00,-5.746658988105250998e+00
2.274627154829379272e+00,9.125780208857758868e-01
-5.952834550042028106e+00,-8.617730804063383765e-01
-2.538277511471807024e+00,1.382267619399574432e+00
-4.635996990993114686e+00,-7.318927543555766579e-01
-6.167126641473744009e+00,-5.283551438077335183e-01
-4.828233006546232886e+00,4.413046490519836329e-01
2.097482076500537307e+00,-3.665597214771010304e-02
-8.424578320056511416e+00,-5.322646635548799132e+00
-2.446531148875281225e+00,9.753705158320060686e-01
-3.077407904674418937e+00,1.166970288350936080e+00
1.298704806726278971e+00,1.310661431874729832e+00
2.314971659124588577e+00,8.318557384006841637e-01
-4.407906804556533054e+00,1.843390846183584064e-01
-8.803196779175221920e+00,-5.586249568728141490e+00
-9.378284814261244051e+00,-3.665080577500814840e+00
-4.706690002768236347e+00,-2.120143599463808481e+00
1.574756970485115648e+00,7.980437514718436987e-01
-8.731371979285626139e+00,-4.586968683907697297e+00
1.801899871559340838e+00,2.990979365481084007e-01
2.486993874792009063e+00,6.255196356269872027e-01
-9.450179105860806672e+00,-5.925277488227979283e+00
-9.345123810940425102e+00,-3.518924404547934426e+00
-9.458498793825649287e+00,-4.522199595775289183e+00
2.436047781794708822e+00,-7.275387919918081536e-01
-7.409422733049565224e+00,1.705134037910123634e+00
1.991097563668315029e+00,4.412178883036026455e-01
2.101438517713769105e+00,1.257173364258586057e+00
